t,Isim,Qsim,Ssim,Hsim
4.270e+00,6.485e+00,5.000e+00,2.212e-01,2.212e-01
4.280e+00,6.530e+00,5.000e+00,2.365e-01,2.365e-01
4.290e+00,6.574e+00,5.000e+00,2.522e-01,2.522e-01
4.300e+00,6.618e+00,5.000e+00,2.684e-01,2.684e-01
4.310e+00,6.646e+00,5.000e+00,2.849e-01,2.849e-01
4.320e+00,6.675e+00,5.000e+00,3.016e-01,3.016e-01
4.330e+00,6.703e+00,5.000e+00,3.186e-01,3.186e-01
4.340e+00,6.732e+00,5.000e+00,3.359e-01,3.359e-01
4.350e+00,6.760e+00,5.000e+00,3.535e-01,3.535e-01
4.360e+00,6.788e+00,5.000e+00,3.714e-01,3.714e-01
4.370e+00,6.817e+00,5.000e+00,3.896e-01,3.896e-01
4.380e+00,6.845e+00,5.000e+00,4.081e-01,4.081e-01
4.390e+00,6.874e+00,5.000e+00,4.268e-01,4.268e-01
4.400e+00,6.902e+00,5.000e+00,4.458e-01,4.458e-01
4.410e+00,6.912e+00,5.000e+00,4.649e-01,4.649e-01
4.420e+00,6.922e+00,5.000e+00,4.841e-01,4.841e-01
4.430e+00,6.931e+00,5.000e+00,5.035e-01,5.035e-01
4.440e+00,6.941e+00,5.000e+00,5.229e-01,5.229e-01
4.450e+00,6.951e+00,5.000e+00,5.424e-01,5.424e-01
4.460e+00,6.961e+00,5.000e+00,5.620e-01,5.620e-01
4.470e+00,6.971e+00,5.000e+00,5.817e-01,5.817e-01
4.480e+00,6.980e+00,5.000e+00,6.015e-01,6.015e-01
4.490e+00,6.990e+00,5.000e+00,6.214e-01,6.214e-01
4.500e+00,7.000e+00,5.000e+00,6.414e-01,6.414e-01
4.510e+00,6.990e+00,5.000e+00,6.613e-01,6.613e-01
4.520e+00,6.980e+00,5.000e+00,6.811e-01,6.811e-01
4.530e+00,6.971e+00,5.000e+00,7.008e-01,7.008e-01
4.540e+00,6.961e+00,5.000e+00,7.204e-01,7.204e-01
4.550e+00,6.951e+00,5.000e+00,7.399e-01,7.399e-01
4.560e+00,6.941e+00,5.000e+00,7.593e-01,7.593e-01
4.570e+00,6.931e+00,5.000e+00,7.787e-01,7.787e-01
4.580e+00,6.922e+00,5.000e+00,7.979e-01,7.979e-01
4.590e+00,6.912e+00,5.000e+00,8.170e-01,8.170e-01
4.600e+00,6.902e+00,5.000e+00,8.360e-01,8.360e-01
4.610e+00,6.874e+00,5.000e+00,8.547e-01,8.547e-01
4.620e+00,6.845e+00,5.000e+00,8.732e-01,8.732e-01
4.630e+00,6.817e+00,5.000e+00,8.914e-01,8.914e-01
4.640e+00,6.788e+00,5.000e+00,9.093e-01,9.093e-01
4.650e+00,6.760e+00,5.000e+00,9.269e-01,9.269e-01
4.660e+00,6.732e+00,5.000e+00,9.442e-01,9.442e-01
4.670e+00,6.703e+00,5.000e+00,9.612e-01,9.612e-01
4.680e+00,6.675e+00,5.000e+00,9.779e-01,9.779e-01
4.690e+00,6.646e+00,5.000e+00,9.944e-01,9.944e-01
4.700e+00,6.618e+00,5.000e+00,1.011e+00,1.011e+00
4.710e+00,6.574e+00,5.000e+00,1.026e+00,1.026e+00
4.720e+00,6.530e+00,5.000e+00,1.042e+00,1.042e+00
4.730e+00,6.485e+00,5.000e+00,1.056e+00,1.056e+00
4.740e+00,6.441e+00,5.000e+00,1.071e+00,1.071e+00
4.750e+00,6.397e+00,5.000e+00,1.085e+00,1.085e+00
4.760e+00,6.353e+00,5.000e+00,1.098e+00,1.098e+00
4.770e+00,6.309e+00,5.000e+00,1.111e+00,1.111e+00
4.780e+00,6.264e+00,5.000e+00,1.124e+00,1.124e+00
4.790e+00,6.220e+00,5.000e+00,1.136e+00,1.136e+00
4.800e+00,6.176e+00,5.000e+00,1.148e+00,1.148e+00
4.810e+00,6.120e+00,5.000e+00,1.159e+00,1.159e+00
4.820e+00,6.064e+00,5.000e+00,1.170e+00,1.170e+00
4.830e+00,6.009e+00,5.000e+00,1.180e+00,1.180e+00
4.840e+00,5.953e+00,5.000e+00,1.190e+00,1.190e+00
4.850e+00,5.897e+00,5.000e+00,1.199e+00,1.199e+00
4.860e+00,5.841e+00,5.000e+00,1.207e+00,1.207e+00
4.870e+00,5.785e+00,5.000e+00,1.215e+00,1.215e+00
4.880e+00,5.730e+00,5.000e+00,1.222e+00,1.222e+00
4.890e+00,5.674e+00,5.000e+00,1.229e+00,1.229e+00
4.900e+00,5.618e+00,5.000e+00,1.235e+00,1.235e+00
4.910e+00,5.556e+00,5.000e+00,1.241e+00,1.241e+00
4.920e+00,5.494e+00,5.000e+00,1.245e+00,1.245e+00
4.930e+00,5.433e+00,5.000e+00,1.250e+00,1.250e+00
4.940e+00,5.371e+00,5.000e+00,1.254e+00,1.254e+00
4.950e+00,5.309e+00,5.000e+00,1.257e+00,1.257e+00
4.960e+00,5.247e+00,5.000e+00,1.259e+00,1.259e+00
4.970e+00,5.185e+00,5.000e+00,1.261e+00,1.261e+00
4.980e+00,5.124e+00,5.000e+00,1.262e+00,1.262e+00
4.990e+00,5.062e+00,5.000e+00,1.263e+00,1.263e+00
5.000e+00,5.000e+00,5.000e+00,1.263e+00,1.263e+00
