V1,V2,Qin,h1,Q1,h2,Q2,time
0.0,0.0,2.5265372462196543,-2.751645445024042e-28,-1.9551414231149182e-10,4.171480443071573e-26,-1.95514142311491e-10,0.0
0.0270787480839821,0.007171057411392803,0.4,0.13539374041991048,0.18397944200617128,0.035855287056964016,0.094677461933994,0.1
0.04569645024841661,0.016520150979891034,0.4,0.22848225124208307,0.2389990853683243,0.08260075489945516,0.14370173530877042,0.2
0.05996292833450636,0.02600356743921726,0.4,0.29981464167253175,0.2737766615795327,0.13001783719608628,0.18028993117129585,0.30000000000000004
0.07129652771217782,0.035147223883388874,0.4,0.3564826385608891,0.29853083532854224,0.17573611941694436,0.20960446047387515,0.4
0.08047984672205574,0.043770887581787626,0.4,0.40239923361027874,0.31717472850598116,0.2188544379089381,0.23390940442090988,0.5
0.08801560145799404,0.051804642562095556,0.4,0.4400780072899702,0.33169187785079357,0.2590232128104778,0.2544716156711132,0.6000000000000001
0.09425404286831736,0.059229813375844195,0.4,0.4712702143415867,0.34324561699268635,0.29614906687922093,0.2720978991363026,0.7000000000000001
0.09945189812765906,0.06605409773287826,0.4,0.4972594906382952,0.35258314289499415,0.3302704886643913,0.28734582330215297,0.8
0.10380395181879158,0.07229940154195107,0.4,0.5190197590939579,0.36021512984172604,0.36149700770975535,0.3006231061199173,0.9
0.1074617007935932,0.07799528494286088,0.4,0.537308503967966,0.36650665203590505,0.38997642471430444,0.3122404621184033,1.0
0.11054517279908464,0.08317519205037707,0.4,0.5527258639954232,0.37172767719772465,0.4158759602518853,0.3224422274874814,1.1
0.113150820440091,0.0878741827362756,0.4,0.565754102200455,0.3760831364834222,0.439370913681378,0.33142529840562446,1.2000000000000002
0.11535701596944727,0.09212752824821797,0.4,0.5767850798472363,0.3797318395391155,0.46063764124108986,0.3393514554443509,1.3
0.11722800457004315,0.09596982907945603,0.4,0.5861400228502157,0.3827989102794445,0.4798491453972801,0.34635572227192457,1.4000000000000001
0.1188168262155078,0.09943446140795577,0.4,0.594084131077539,0.38538426637371703,0.49717230703977877,0.35255223266999836,1.5
0.12016752377271818,0.10255323695074882,0.4,0.6008376188635909,0.38756858066055233,0.5127661847537441,0.35803847026364044,1.6
0.12131684294172779,0.10535620497424131,0.4,0.6065842147086389,0.3894175826496726,0.5267810248712065,0.36289841032698433,1.7000000000000002
0.12229556152948436,0.1078715508209504,0.4,0.6114778076474218,0.39098523234459814,0.539357754104752,0.3672048999211267,1.8
0.12312954264836541,0.11012556083085433,0.4,0.615647713241827,0.392316107635491,0.5506278041542716,0.371021496733505,1.9000000000000001
0.123840578540373,0.11214263324443564,0.4,0.619202892701865,0.3934472304837588,0.5607131662221781,0.3744039149839293,2.0
0.12444707309563205,0.11394532092772902,0.4,0.6222353654781603,0.3944094843807132,0.5697266046386451,0.3774011806544617,2.1
0.12496459838183771,0.11555439589511278,0.4,0.6248229919091886,0.39522872868409786,0.5777719794755638,0.3800565679850817,2.2
0.12540635158320323,0.1169889284083765,0.4,0.6270317579160161,0.3959266844745073,0.5849446420418825,0.38240836877633344,2.3000000000000003
0.125783532388098,0.11826637537450882,0.4,0.6289176619404899,0.3965216456703323,0.5913318768725441,0.3844905320262709,2.4000000000000004
0.12610565624908146,0.11940267414262119,0.4,0.6305282812454073,0.3970290547445456,0.5970133707131059,0.38633320162521834,2.5
0.12638081553488578,0.12041233879755961,0.4,0.6319040776744289,0.397461972292456,0.602061693987798,0.3879631728613843,2.6
0.12661589804589926,0.12130855678333283,0.4,0.6330794902294963,0.397831462503131,0.606542783916664,0.389404283462441,2.7
0.12681677043156608,0.12210328424175639,0.4,0.6340838521578305,0.39814691137752967,0.6105164212087819,0.39067775122463094,2.8000000000000003
0.12698843256313552,0.12280733887288306,0.4,0.6349421628156777,0.3984162907110227,0.6140366943644152,0.3918024675660561,2.9000000000000004
0.12713514776138946,0.12343048944927101,0.4,0.6356757388069473,0.3986463780115763,0.617152447246355,0.39279525431367246,3.0
0.12726055287306937,0.1239815413703443,0.4,0.6363027643653468,0.3988429403804827,0.6199077068517214,0.3936710895058089,3.1
0.12736775147162704,0.12446841784314681,0.4,0.6368387573581351,0.3990108887480976,0.6223420892157341,0.3944433068309051,3.2
0.12745939288372438,0.1248982364339118,0.4,0.6372969644186218,0.3991544075976972,0.624491182169559,0.395123772433602,3.3000000000000003
0.1275377392801361,0.12527738085996867,0.4,0.6376886964006805,0.399277064330251,0.6263869042998433,0.39572304213267184,3.4000000000000004
0.12760472269407383,0.12561156799021186,0.4,0.6380236134703692,0.399381901652548,0.6280578399510593,0.3962505015612529,3.5
0.1276619935230863,0.12590591009969607,0.4,0.6383099676154316,0.39947151576034934,0.6295295504984804,0.3967144913214077,3.6
0.1277109618185659,0.12616497248380784,0.4,0.6385548090928294,0.39954812260004474,0.6308248624190391,0.39712241891455347,3.7
0.1277528324586846,0.12639282658299955,0.4,0.638764162293423,0.39961361409913043,0.6319641329149978,0.39748085894611124,3.8000000000000003
0.12778863512786104,0.12659309880276587,0.4,0.6389431756393052,0.39966960593700285,0.6329654940138294,0.3977956428912321,3.9000000000000004
0.12781924988200366,0.12676901523746417,0.4,0.6390962494100183,0.3997174781674143,0.6338450761873208,0.39807193953684217,4.0
0.12784542895853826,0.12692344252244633,0.4,0.6392271447926913,0.3997584097904451,0.6346172126122316,0.39831432707455183,4.1000000000000005
0.12786781538942152,0.12705892504823837,0.4,0.6393390769471076,0.39979340819576975,0.635294625241192,0.39852685770233187,4.2
